symbol,date,open,high,low,close,volume,adjusted
AA,2015-09-21,23.981939,24.2703,23.7897,23.7897,7369600,23.382811
AA,2015-09-25,22.227751,22.32387,21.53088,21.79521,7908800,21.422434
AA,2015-09-28,22.73238,23.164921,22.107599,23.044769,39826500,22.65062
AA,2015-10-02,21.98745,22.87656,21.8673,22.87656,11710100,22.485287
AA,2015-10-05,23.092831,25.111349,23.0688,25.01523,20160200,24.587379
AA,2015-10-09,25.640011,26.240761,24.630751,24.654779,32757900,24.233091
AA,2015-10-12,24.702841,24.72687,23.957911,24.22224,13085200,23.807955
AA,2015-10-16,23.501341,23.52537,22.66029,22.94865,11370500,22.556145
AA,2015-10-19,22.66029,22.99671,22.492081,22.636259,9597500,22.249096
AA,2015-10-23,22.01148,22.299841,21.771179,21.963421,8446500,21.587767
AA,2015-10-26,21.93939,22.08357,20.93013,21.07431,10811600,20.713865
AA,2015-10-30,21.554911,21.771179,21.31461,21.45879,14542000,21.091766
AA,2015-11-02,21.506849,22.20372,21.45879,22.035509,12476700,21.658623
AA,2015-11-06,21.891331,22.05954,21.578939,21.843269,9720900,21.538557
AA,2015-11-09,21.554911,21.627001,20.425501,20.689831,18093700,20.401209
AA,2015-11-13,18.86355,19.368179,18.79146,19.19997,10909900,18.932133
AA,2015-11-16,19.151911,19.99296,19.12788,19.92087,14040100,19.642975
AA,2015-11-20,21.170429,21.3867,20.641769,20.882071,10348000,20.590765
AA,2015-11-23,21.74715,22.20372,21.31461,21.79521,18402300,21.491169
AA,2015-11-27,22.39596,22.73238,22.3479,22.39596,4095200,22.083534
AA,2015-11-30,22.419991,22.85253,22.371929,22.492081,10018600,22.178318
AA,2015-12-04,21.699089,22.54014,21.627001,22.444019,12284000,22.130928
AA,2015-12-07,22.73238,22.756411,21.506849,21.72312,15582300,21.420084
AA,2015-12-11,21.578939,21.67506,21.026251,21.290581,12975500,20.99358
AA,2015-12-14,21.242519,21.74715,20.85804,21.627001,15272000,21.325304
AA,2015-12-18,22.01148,22.61223,21.93939,22.179689,13507900,21.870283
AA,2015-12-21,22.46805,22.66029,22.179689,22.39596,10401600,22.083534
AA,2015-12-28,24.030001,24.054029,23.573429,23.981939,6495300,23.647394
AA,2016-01-04,22.87656,23.5494,22.708349,23.33313,15779900,23.007635
AA,2016-01-08,20.47356,20.569679,19.27206,19.39221,17366500,19.121691
AA,2016-01-11,19.92087,19.92087,18.9837,19.224001,19951000,18.955828
AA,2016-01-15,16.676821,16.869061,16.268311,16.5807,21738800,16.3494
AA,2016-01-22,17.51787,17.830259,16.412491,16.50861,14308800,16.278316
AA,2016-01-25,16.364429,16.820999,16.24428,16.340401,14161500,16.112455
AA,2016-01-29,16.77294,17.51787,16.77294,17.51787,14886500,17.273497
AA,2016-02-01,17.73414,17.73414,17.085329,17.32563,11044300,17.083937
AA,2016-02-05,19.560419,20.425501,18.93564,19.51236,17872400,19.323334
AA,2016-02-08,18.57519,20.233259,18.52713,18.9837,16452300,18.799797
AA,2016-02-12,18.094589,18.695339,17.686081,18.479071,10832800,18.300055
AA,2016-02-19,19.296089,19.440269,18.83952,18.91161,12881300,18.728405
AA,2016-02-22,19.32012,21.45879,19.32012,21.41073,22938400,21.203316
AA,2016-02-26,21.915359,22.13163,21.19446,21.31461,9315800,21.108124
AA,2016-02-29,21.506849,21.891331,21.26655,21.45879,9189800,21.250908
AA,2016-03-04,23.044769,24.12612,22.636259,22.99671,16989200,22.77393
AA,2016-03-07,23.21298,24.19821,23.092831,24.12612,17470600,23.892399
AA,2016-03-11,23.33313,23.66955,22.708349,22.87656,9729500,22.654943
AA,2016-03-14,22.61223,23.5494,22.492081,23.237009,9020400,23.0119
AA,2016-03-18,24.030001,24.558661,23.5494,24.102091,13993200,23.868603
AA,2016-03-21,23.88582,24.12612,23.33313,23.765671,7950000,23.53544
